"root","x","Barrier","Kr","Kx","kAQP","perimeter","Kr2","radius","conductance"
"root1",30,"M1",5.86639700121567e-05,5.3502576248052,4e-04,0.263178350723938,6.78981134399962e-08,0.418861354324872,1.7869313512405e-08
"root1",30,"M2",4.44062663804082e-05,5.3502576248052,4e-04,0.263178350723938,5.1396141643991e-08,0.418861354324872,1.35263517914395e-08
"root1",30,"M3",4.25306039779269e-05,5.3502576248052,4e-04,0.263178350723938,4.92252360855635e-08,0.418861354324872,1.29550164469951e-08
"root1",30,"M1",6.2447524469256e-05,5.3502576248052,5e-04,0.263178350723938,7.22772273949722e-08,0.418861354324872,1.90218015007078e-08
"root1",30,"M2",4.60221050629611e-05,5.3502576248052,5e-04,0.263178350723938,5.32663253043531e-08,0.418861354324872,1.40185436427244e-08
"root1",30,"M3",4.43397487657009e-05,5.3502576248052,5e-04,0.263178350723938,5.13191536640057e-08,0.418861354324872,1.35060902218414e-08
"root1",30,"M1",6.6028120682123e-05,5.3502576248052,6e-04,0.263178350723938,7.64214359746794e-08,0.418861354324872,2.01124674797711e-08
"root1",30,"M2",4.75036115060488e-05,5.3502576248052,6e-04,0.263178350723938,5.49810318357046e-08,0.418861354324872,1.44698172796211e-08
"root1",30,"M3",4.59704595493781e-05,5.3502576248052,6e-04,0.263178350723938,5.32065504043728e-08,0.418861354324872,1.40028121831329e-08
"root1",30,"M1",6.94616674493778e-05,5.3502576248052,7e-04,0.263178350723938,8.03954484367799e-08,0.418861354324872,2.11583415253031e-08
"root1",30,"M2",4.8883981810008e-05,5.3502576248052,7e-04,0.263178350723938,5.65786826504722e-08,0.418861354324872,1.48902843860844e-08
"root1",30,"M3",4.74708065582632e-05,5.3502576248052,7e-04,0.263178350723938,5.4943063146138e-08,0.418861354324872,1.44598247425218e-08
"root1",30,"M1",7.27822324811918e-05,5.3502576248052,8e-04,0.263178350723938,8.42386950013794e-08,0.418861354324872,2.21698008175999e-08
"root1",30,"M2",5.01833348435259e-05,5.3502576248052,8e-04,0.263178350723938,5.80825634763031e-08,0.418861354324872,1.52860732615119e-08
"root1",30,"M3",4.88695423700419e-05,5.3502576248052,8e-04,0.263178350723938,5.65619703356966e-08,0.418861354324872,1.48858860666449e-08
"root1",30,"M1",7.60121683438444e-05,5.3502576248052,9e-04,0.263178350723938,8.79770466942644e-08,0.418861354324872,2.31536540505594e-08
"root1",30,"M2",5.14150230721993e-05,5.3502576248052,9e-04,0.263178350723938,5.95081285557862e-08,0.418861354324872,1.56612511279799e-08
