"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
131,134,2,0.0856,0.1736,-0.2719,0.1505,0.3449,-0.3523,0.0639,0.200049643838723,0.4314,0.3922,0.1961,11.5819,2,"Tomato_60_8"
131,135,0,0.0278,-0.1565,-17.2885,0.0251,-0.149,-17.4749,0.0717,0.186570362062148,0.4314,0.3922,0.1961,11.6777,1,"Tomato_60_8"
4,136,4,0.0162,0.0362,-0.506,0.0033,-0.1429,-0.5939,0.0717,0.199924060583012,0.4314,0.3922,0.1961,11.6925,2,"Tomato_60_8"
134,137,2,0.1505,0.3449,-0.3523,0.2186,0.5193,-0.4225,0.0639,0.199952519363973,0.4314,0.3922,0.1961,11.6937,2,"Tomato_60_8"
133,138,3,-0.0649,-0.1239,-0.4328,-0.1224,-0.2439,-0.5821,0.0768,0.199991849833937,0.4314,0.3922,0.1961,11.7095,2,"Tomato_60_8"
1,139,1,0,0,0,-0.0757,-0.1813,-0.0374,0.0747,0.199997349982443,0.4314,0.3922,0.1961,11.7099,2,"Tomato_60_8"
136,140,4,0.0033,-0.1429,-0.5939,-0.0111,-0.3219,-0.6821,0.0717,0.200068988101605,0.4314,0.3922,0.1961,11.7736,2,"Tomato_60_8"
137,141,2,0.2186,0.5193,-0.4225,0.2864,0.6943,-0.4917,0.0639,0.200026198284125,0.4314,0.3922,0.1961,11.8066,2,"Tomato_60_8"
132,142,0,0.0251,-0.149,-17.4749,0.0216,-0.1506,-17.6352,0.0717,0.16034618798088,0.4314,0.3922,0.1961,11.8084,1,"Tomato_60_8"
138,143,3,-0.1224,-0.2439,-0.5821,-0.1869,-0.3562,-0.7345,0.0768,0.19999324988609,0.4314,0.3922,0.1961,11.8389,2,"Tomato_60_8"
140,144,4,-0.0111,-0.3219,-0.6821,-0.036,-0.4909,-0.7862,0.0717,0.200044545039349,0.4314,0.3922,0.1961,11.8552,2,"Tomato_60_8"
141,145,2,0.2864,0.6943,-0.4917,0.3168,0.8857,-0.541,0.0639,0.199971522972647,0.4314,0.3922,0.1961,11.9204,2,"Tomato_60_8"
144,146,4,-0.036,-0.4909,-0.7862,-0.0683,-0.6584,-0.8904,0.0717,0.199892921335399,0.4314,0.3922,0.1961,11.9374,2,"Tomato_60_8"
6,147,6,0.0074,0.0788,-0.8668,-0.1467,0.1791,-0.9454,0.0564,0.199962146417766,0.4314,0.3922,0.1961,11.9637,2,"Tomato_60_8"
143,148,3,-0.1869,-0.3562,-0.7345,-0.2527,-0.4701,-0.8851,0.0768,0.199958020594324,0.4314,0.3922,0.1961,11.969,2,"Tomato_60_8"
133,149,0,0.0216,-0.1506,-17.6352,0.0255,-0.1288,-17.8339,0.0717,0.199930337867967,0.4314,0.3922,0.1961,11.9724,1,"Tomato_60_8"
5,150,5,0.0108,0.0588,-0.6986,-0.1699,0.0314,-0.7798,0.044,0.199991724828804,0.4314,0.3922,0.1961,11.9785,2,"Tomato_60_8"
147,151,6,-0.1467,0.1791,-0.9454,-0.3027,0.2782,-1.0218,0.0564,0.199984424393501,0.4314,0.3922,0.1961,12.0189,2,"Tomato_60_8"
146,152,4,-0.0683,-0.6584,-0.8904,-0.1059,-0.8217,-0.9997,0.0717,0.200067838494847,0.4314,0.3922,0.1961,12.0201,2,"Tomato_60_8"
134,153,0,0.0255,-0.1288,-17.8339,0.026,-0.1238,-17.8926,0.0717,0.0589146840779122,0.4314,0.3922,0.1961,12.0208,1,"Tomato_60_8"
145,154,2,0.3168,0.8857,-0.541,0.3457,1.0772,-0.5909,0.0639,0.199993674899983,0.4314,0.3922,0.1961,12.0352,2,"Tomato_60_8"
151,155,6,-0.3027,0.2782,-1.0218,-0.4535,0.3678,-1.1179,0.0564,0.200010024748761,0.4314,0.3922,0.1961,12.0744,2,"Tomato_60_8"
148,156,3,-0.2527,-0.4701,-0.8851,-0.2928,-0.5802,-1.0473,0.0768,0.200097126416148,0.4314,0.3922,0.1961,12.0997,2,"Tomato_60_8"
152,157,4,-0.1059,-0.8217,-0.9997,-0.1689,-0.9852,-1.0961,0.0717,0.199985524476148,0.4314,0.3922,0.1961,12.1035,2,"Tomato_60_8"
135,158,0,0.026,-0.1238,-17.8926,0.0244,-0.1177,-18.0154,0.0717,0.122961823343668,0.4314,0.3922,0.1961,12.1223,1,"Tomato_60_8"
155,159,6,-0.4535,0.3678,-1.1179,-0.6045,0.448,-1.2217,0.0564,0.200018699125857,0.4314,0.3922,0.1961,12.1301,2,"Tomato_60_8"
154,160,2,0.3457,1.0772,-0.5909,0.3474,1.2524,-0.6874,0.0639,0.20002544838095,0.4314,0.3922,0.1961,12.1511,2,"Tomato_60_8"
8,161,7,0.0262,0.0958,-1.0778,0.0173,-0.0832,-1.1666,0.0478,0.200014124501246,0.4314,0.3922,0.1961,12.1593,2,"Tomato_60_8"
159,162,6,-0.6045,0.448,-1.2217,-0.7504,0.5224,-1.3364,0.0564,0.199945642613186,0.4314,0.3922,0.1961,12.186,2,"Tomato_60_8"
