"root","x","Barrier","Kr","Kx","kAQP","perimeter","kr","radius","Barrier_Name"
"root14",15,"b1",1.52016167690733e-11,2.47740003903799e-10,6.944e-07,0.1424971240696,1.06680165430205e-07,0.226791216720559,"M1"
"root14",15,"b3",7.45398179939919e-12,2.47740003903799e-10,6.944e-07,0.1424971240696,5.23096999189853e-08,0.226791216720559,"M2"
"root14",15,"b4",7.16970948254368e-12,2.47740003903799e-10,6.944e-07,0.1424971240696,5.03147662056799e-08,0.226791216720559,"M3"
"root14",15,"b6",1.09304332296148e-11,2.47740003903799e-10,6.944e-07,0.1424971240696,7.67063426787198e-08,0.226791216720559,"T2"
"root14",15,"b8",6.2557565419132e-12,2.47740003903799e-10,6.944e-07,0.1424971240696,4.39009319153536e-08,0.226791216720559,"T3"
"root14",15,"b9",1.16707428914535e-11,2.47740003903799e-10,6.944e-07,0.1424971240696,8.19016030509719e-08,0.226791216720559,"T1"
"root14",15,"b1",1.60418183305279e-11,2.47740003903799e-10,8.102e-07,0.1424971240696,1.12576435736995e-07,0.226791216720559,"M1"
"root14",15,"b3",7.55411488551979e-12,2.47740003903799e-10,8.102e-07,0.1424971240696,5.30124024245579e-08,0.226791216720559,"M2"
"root14",15,"b4",7.2997916277657e-12,2.47740003903799e-10,8.102e-07,0.1424971240696,5.12276417887582e-08,0.226791216720559,"M3"
"root14",15,"b6",1.13785238018296e-11,2.47740003903799e-10,8.102e-07,0.1424971240696,7.98509013857147e-08,0.226791216720559,"T2"
"root14",15,"b8",6.33239258497967e-12,2.47740003903799e-10,8.102e-07,0.1424971240696,4.44387395628191e-08,0.226791216720559,"T3"
"root14",15,"b9",1.22118030490083e-11,2.47740003903799e-10,8.102e-07,0.1424971240696,8.56985930680513e-08,0.226791216720559,"T1"
"root14",15,"b1",1.68266446167856e-11,2.47740003903799e-10,9.259e-07,0.1424971240696,1.18084099778512e-07,0.226791216720559,"M1"
"root14",15,"b3",7.64130452298238e-12,2.47740003903799e-10,9.259e-07,0.1424971240696,5.36242718782881e-08,0.226791216720559,"M2"
"root14",15,"b4",7.41165642873364e-12,2.47740003903799e-10,9.259e-07,0.1424971240696,5.20126737793919e-08,0.226791216720559,"M3"
"root14",15,"b6",1.17772475814834e-11,2.47740003903799e-10,9.259e-07,0.1424971240696,8.26490194688494e-08,0.226791216720559,"T2"
"root14",15,"b8",6.39630622806826e-12,2.47740003903799e-10,9.259e-07,0.1424971240696,4.48872654085573e-08,0.226791216720559,"T3"
