"Root","X","Barrier","Kr","Kx","perimeter"
"root1",20,"b3",4.96940486745035e-05,0.474325989004693,0.141239399416286
"root1",20,"b4",4.71638373689225e-05,0.474325989004693,0.141239399416286
"root1",20,"b5",8.25240147584751e-05,0.474325989004693,0.141239399416286
"root1",20,"b6",6.54172407317865e-05,0.474325989004693,0.141239399416286
"root1",20,"b7",0.000114380517573687,0.474325989004693,0.141239399416286
"root1",20,"b8",4.10624686890234e-05,0.474325989004693,0.141239399416286
"root1",20,"b9",6.9453586847376e-05,6.9453586847376e-05,0.141239399416286
"root1",22,"b0",0.000122523233703177,0.185862778308171,0.155006257884998
"root1",22,"b1",6.60277028920661e-05,0.185862778308171,0.155006257884998
"root1",22,"b2",3.85149542453805e-05,0.185862778308171,0.155006257884998
"root1",22,"b3",3.85149542453805e-05,0.185862778308171,0.155006257884998
"root1",22,"b4",3.70530786331365e-05,0.185862778308171,0.155006257884998
"root1",22,"b5",6.18284606091256e-05,0.185862778308171,0.155006257884998
"root1",22,"b6",5.18046494174048e-05,0.185862778308171,0.155006257884998
"root1",22,"b7",7.85658419770395e-05,0.185862778308171,0.155006257884998
"root1",22,"b8",3.32097616542931e-05,0.185862778308171,0.155006257884998
"root1",22,"b9",5.42113794239837e-05,5.42113794239837e-05,0.155006257884998
"root1",23,"b0",0.000155177261646925,0.714584123748387,0.142794402613454
"root1",23,"b1",9.78646353516131e-05,0.714584123748387,0.142794402613454
"root1",23,"b2",5.24687092230515e-05,0.714584123748387,0.142794402613454
"root1",23,"b3",5.24687092230515e-05,0.714584123748387,0.142794402613454
"root1",23,"b4",4.91264098364438e-05,0.714584123748387,0.142794402613454
"root1",23,"b5",8.67630886090103e-05,0.714584123748387,0.142794402613454
"root1",23,"b6",6.7875633423865e-05,0.714584123748387,0.142794402613454
"root1",23,"b7",0.000111874984026872,0.714584123748387,0.142794402613454
"root1",23,"b8",4.24688670570521e-05,0.714584123748387,0.142794402613454
"root1",23,"b9",7.21122632292119e-05,7.21122632292119e-05,0.142794402613454
"root1",24,"b0",0.000173403955550152,1.08918674388252,0.150068761684022
"root1",24,"b1",9.35319864145299e-05,1.08918674388252,0.150068761684022
"root1",24,"b2",5.03398178009865e-05,1.08918674388252,0.150068761684022
"root1",24,"b3",5.03398178009865e-05,1.08918674388252,0.150068761684022
"root1",24,"b4",4.72223237602284e-05,1.08918674388252,0.150068761684022
"root1",24,"b5",8.32834493772173e-05,1.08918674388252,0.150068761684022
"root1",24,"b6",6.56151473583281e-05,1.08918674388252,0.150068761684022
"root1",24,"b7",0.000113992621383335,1.08918674388252,0.150068761684022
"root1",24,"b8",4.09791771006583e-05,1.08918674388252,0.150068761684022
"root1",24,"b9",6.98470188604206e-05,6.98470188604206e-05,0.150068761684022
"root1",26,"b0",0.000179962945052124,2.11917214712348,0.198110554423136
"root1",26,"b1",9.09517676342008e-05,2.11917214712348,0.198110554423136
"root1",26,"b2",5.29008108145496e-05,2.11917214712348,0.198110554423136
"root1",26,"b3",5.29008108145496e-05,2.11917214712348,0.198110554423136
"root1",26,"b4",5.03251762819531e-05,2.11917214712348,0.198110554423136
"root1",26,"b5",8.35516865740086e-05,2.11917214712348,0.198110554423136
"root1",26,"b6",6.66390340326597e-05,2.11917214712348,0.198110554423136
"root1",26,"b7",0.000106456699711639,2.11917214712348,0.198110554423136
"root1",26,"b8",4.36743487712848e-05,2.11917214712348,0.198110554423136
"root1",26,"b9",7.04086442932249e-05,7.04086442932249e-05,0.198110554423136
"root1",27,"b0",0.0001458314758514,1.88286246633308,0.216448461004425
"root1",27,"b1",6.60578691999246e-05,1.88286246633308,0.216448461004425
"root1",27,"b2",4.37600855572602e-05,1.88286246633308,0.216448461004425
"root1",27,"b3",4.37600855572602e-05,1.88286246633308,0.216448461004425
"root1",27,"b4",4.19952773900594e-05,1.88286246633308,0.216448461004425
