"","root","x","y","Barrier","Kr","Kx","perimeter","Kr2","param_id"
"38941","root12",27,1027.1103,"b4",5.52549836171132e-05,0.815909498907192,0.146015173474038,6.39525273346218e-08,"xylem_mean_size"
"38942","root4",11,519.9605,"b1",0.000119505556815604,0.0496074746471884,0.162465239278577,1.38316616684727e-07,"xylem_mean_size"
"38943","root20",15,365.3285,"b4",5.08024840818786e-05,0.497107612146586,0.132349388489308,5.87991713910632e-08,"xylem_mean_size"
"38944","root26",14,468.869,"b6",5.56229031609333e-05,0.271790256853187,0.148656512758842,6.43783601399691e-08,"xylem_mean_size"
"38945","root25",28,1330.4622,"b6",5.99670717335997e-05,6.65683002726819,0.301905240054769,6.94063330249997e-08,"xylem_mean_size"
"38946","root14",22,519.5569,"b5",7.69049903994409e-05,0.325484585484654,0.142548342907453,8.90104055549085e-08,"xylem_mean_size"
"38947","root12",11,491.759,"b4",2.75477525336365e-05,0.00731637824391418,0.145873701816699,3.18839728398571e-08,"xylem_mean_size"
"38948","root5",26,2643.9214,"b5",7.58134425561764e-05,1.56785104001406,0.208876287417947,8.77470399955745e-08,"xylem_mean_size"
"38949","root9",15,684.518,"b4",3.52807645830014e-05,0.0779826234278562,0.142981667849072,4.08342182673627e-08,"xylem_mean_size"
"38950","root6",16,572.7626,"b6",7.24721198486717e-05,1.21337928139057,0.188844200568442,8.387976834337e-08,"xylem_mean_size"
"38951","root23",13,429.5776,"b4",3.69078377266361e-05,0.142302230348055,0.199094051176944,4.27174047761992e-08,"xylem_mean_size"
"38952","root21",27,2340.5857,"b6",6.91799273370643e-05,4.4908567666694,0.193899284132677,8.00693603438244e-08,"xylem_mean_size"
"38953","root26",21,908.5099,"b1",5.36536989477325e-05,0.45806177459692,0.232146276933477,6.20991885969126e-08,"xylem_mean_size"
"38954","root21",22,836.2048,"b6",4.7837078550741e-05,0.665825593380017,0.251502382593103,5.53669890633576e-08,"xylem_mean_size"
"38955","root5",13,299.1809,"b5",7.31520965020442e-05,0.0702595366286694,0.123412823163561,8.46667783588474e-08,"xylem_mean_size"
"38956","root3",19,698.6041,"b6",6.11939742207174e-05,0.0835110232597416,0.14520569275146,7.08263590517562e-08,"xylem_mean_size"
"38957","root12",22,1135.4894,"b4",4.62401823841004e-05,0.354455560237242,0.199890364236319,5.35187296112273e-08,"xylem_mean_size"
"38958","root17",25,1244.0409,"b5",6.6068958023888e-05,0.914940631473326,0.252584785615316,7.6468701416537e-08,"xylem_mean_size"
"38959","root9",0,164.4178,"b5",6.66849168891794e-05,0.0963019172261988,0.105851472088531,7.71816167698836e-08,"xylem_mean_size"
"38960","root17",3,168.929,"b5",6.49920167867979e-05,0.0923763271787773,0.128735549068443,7.52222416513865e-08,"xylem_mean_size"
