"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
98,111,0,0.0223,0.3825,-12.8661,0.006,0.3937,-13.0445,0.068,0.179492868939131,0.4314,0.3922,0.1961,12.2502,1,"Tomato_60_5"
108,112,1,1.0075,-0.3921,-0.507,1.166,-0.476,-0.5956,0.0526,0.200028547962534,0.4314,0.3922,0.1961,12.2543,2,"Tomato_60_5"
109,113,2,-0.4782,0.4883,-0.5955,-0.5798,0.6144,-0.7129,0.0724,0.20001632433379,0.4314,0.3922,0.1961,12.2614,2,"Tomato_60_5"
110,114,3,0.1785,-0.3148,-0.5909,0.2787,-0.4673,-0.6728,0.0704,0.200009749762355,0.4314,0.3922,0.1961,12.3485,2,"Tomato_60_5"
112,115,1,1.166,-0.476,-0.5956,1.306,-0.5671,-0.7055,0.0526,0.199943041889434,0.4314,0.3922,0.1961,12.3544,2,"Tomato_60_5"
113,116,2,-0.5798,0.6144,-0.7129,-0.6846,0.7316,-0.8365,0.0724,0.199989599729586,0.4314,0.3922,0.1961,12.3595,2,"Tomato_60_5"
6,117,4,-0.0224,-0.0058,-0.6372,0.1297,-0.0883,-0.7375,0.0485,0.200001874991211,0.4314,0.3922,0.1961,12.3708,2,"Tomato_60_5"
115,118,1,1.306,-0.5671,-0.7055,1.4469,-0.6598,-0.813,0.0526,0.200005874913713,0.4314,0.3922,0.1961,12.4551,2,"Tomato_60_5"
114,119,3,0.2787,-0.4673,-0.6728,0.3713,-0.6129,-0.7739,0.0704,0.199988324659216,0.4314,0.3922,0.1961,12.4566,2,"Tomato_60_5"
116,120,2,-0.6846,0.7316,-0.8365,-0.7737,0.8446,-0.9754,0.0724,0.200002549983744,0.4314,0.3922,0.1961,12.4581,2,"Tomato_60_5"
99,121,0,0.006,0.3937,-13.0445,0.0075,0.3905,-13.2445,0.068,0.20003122256288,0.4314,0.3922,0.1961,12.4679,1,"Tomato_60_5"
117,122,4,0.1297,-0.0883,-0.7375,0.2716,-0.1501,-0.8642,0.0485,0.200019349064034,0.4314,0.3922,0.1961,12.4871,2,"Tomato_60_5"
100,123,0,0.0075,0.3905,-13.2445,0.0079,0.39,-13.2628,0.068,0.0183111987592293,0.4314,0.3922,0.1961,12.4879,1,"Tomato_60_5"
118,124,1,1.4469,-0.6598,-0.813,1.5792,-0.7463,-0.9356,0.0526,0.200040745849439,0.4314,0.3922,0.1961,12.5564,2,"Tomato_60_5"
120,125,2,-0.7737,0.8446,-0.9754,-0.858,0.9479,-1.1245,0.0724,0.200020473952043,0.4314,0.3922,0.1961,12.5572,2,"Tomato_60_5"
